Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №57-47ABL площадью 229,5 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/57-47ABL.jpg,Современные проекты домов,,"Проект дома №57-47ABL: площадь 229,5 м², 2 этажа, габариты 12.5×14.8 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-47ABL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11931_57-47ABL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-47ABL, проект дома 229,5 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №34-57 площадью 134,71 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/34-57.jpg,Планы домов и коттеджей,,"Проект дома №34-57: площадь 134,71 м², 2 этажа, габариты 8.4×9.3 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/34-57?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11532_34-57_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 34-57, проект дома 134,71 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №58-92EDK1 площадью 164,04 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/58-92EDK1.jpg,Удобные планировки домов,,"Проект дома №58-92EDK1: площадь 164,04 м², 2 этажа, габариты 11.53×11.97 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/58-92EDK1?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11732_58-92EDK1_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 58-92EDK1, проект дома 164,04 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №40-13GDL площадью 196,16 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/40-13GDL.jpg,Современные проекты домов,,"Проект дома №40-13GDL: площадь 196,16 м², 2 этажа, габариты 11.4×14.92 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/40-13GDL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11932_40-13GDL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 40-13GDL, проект дома 196,16 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №62-20BAD площадью 207,4 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/62-20BAD.jpg,Планы домов и коттеджей,,"Проект дома №62-20BAD: площадь 207,4 м², 2 этажа, габариты 12.02×13.32 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/62-20BAD?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11533_62-20BAD_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 62-20BAD, проект дома 207,4 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №48-29CG площадью 272,66 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/48-29CG.jpg,Удобные планировки домов,,"Проект дома №48-29CG: площадь 272,66 м², 2 этажа, габариты 13.12×23.52 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/48-29CG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11733_48-29CG_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 48-29CG, проект дома 272,66 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №67-08 площадью 113,7 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/67-08.jpg,Современные проекты домов,,"Проект дома №67-08: площадь 113,7 м², 1 этаж, габариты 8.16×18.95 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/67-08?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11933_67-08_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 67-08, проект дома 113,7 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №59-62 площадью 163,59 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/59-62.jpg,Планы домов и коттеджей,,"Проект дома №59-62: площадь 163,59 м², 2 этажа, габариты 10.96×11.56 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/59-62?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11534_59-62_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 59-62, проект дома 163,59 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №64-55L площадью 178,47 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/64-55L.jpg,Удобные планировки домов,,"Проект дома №64-55L: площадь 178,47 м², 2 этажа, габариты 14.3×10.5 м, материал стен — монолитный каркас. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/64-55L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11734_64-55L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 64-55L, проект дома 178,47 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, монолитный каркас, catalog-plans.ru"
"Проект дома №65-26AL площадью 215,18 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/65-26AL.jpg,Современные проекты домов,,"Проект дома №65-26AL: площадь 215,18 м², 1 этаж, габариты 17.99×18.4 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/65-26AL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11934_65-26AL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 65-26AL, проект дома 215,18 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №48-24AG площадью 270,24 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/48-24AG.jpg,Планы домов и коттеджей,,"Проект дома №48-24AG: площадь 270,24 м², 2 этажа, габариты 15.46×16.62 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/48-24AG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11535_48-24AG_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 48-24AG, проект дома 270,24 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №65-11 площадью 82,55 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/65-11.jpg,Удобные планировки домов,,"Проект дома №65-11: площадь 82,55 м², 1 этаж, габариты 8.54×13.45 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/65-11?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11735_65-11_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 65-11, проект дома 82,55 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №64-79 площадью 234,58 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/64-79.jpg,Современные проекты домов,,"Проект дома №64-79: площадь 234,58 м², 2 этажа, габариты 10.55×10.55 м, материал стен — монолитный каркас. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/64-79?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11935_64-79_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 64-79, проект дома 234,58 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, монолитный каркас, catalog-plans.ru"
